regionid,pg,yearweek,volume
A01,ST0001,201415,810144.0
A01,ST0002,201415,128999.0
A01,ST0001,201418,671464.0
A01,ST0002,201418,134467.0
A01,ST0001,201413,470040.0
A01,ST0002,201413,140297.0
A01,ST0001,201411,524787.0
A01,ST0002,201411,145509.0
A01,ST0001,201416,764927.0
A01,ST0002,201416,140313.0
A01,ST0001,201419,682757.0
A01,ST0002,201419,128668.0
A01,ST0001,201414,428195.0
A01,ST0002,201414,137488.0
A01,ST0001,201412,486509.0
A01,ST0001,201417,697502.0
A01,ST0002,201417,127163.0
A01,ST0001,201407,620392.0
A01,ST0002,201407,146476.0
A01,ST0001,201410,511679.0
A01,ST0002,201410,153152.0
A01,ST0001,201402,438251.0
A01,ST0002,201402,123875.0
A01,ST0001,201405,482381.0
A01,ST0002,201405,180516.0
A01,ST0001,201408,571781.0
A01,ST0002,201408,156772.0
A01,ST0001,201403,420290.0
A01,ST0002,201403,114744.0
A01,ST0001,201406,570412.0
A01,ST0002,201406,139277.0
A01,ST0001,201409,569545.0
A01,ST0002,201409,141823.0
A01,ST0001,201401,513598.0
A01,ST0002,201401,155729.0
A01,ST0001,201404,458431.0
A01,ST0002,201404,137162.0
A01,ST0002,201435,149570.0
A01,ST0001,201438,693449.0
A01,ST0002,201438,132870.0
A01,ST0001,201433,679332.0
A01,ST0002,201433,150105.0
A01,ST0001,201441,624735.0
A01,ST0002,201441,127720.0
A01,ST0001,201436,826981.0
A01,ST0002,201436,210006.0
A01,ST0001,201439,636169.0
A01,ST0002,201439,129992.0
A01,ST0001,201434,846123.0
A01,ST0002,201434,168303.0
A01,ST0001,201432,677509.0
A01,ST0002,201432,134564.0
A01,ST0001,201437,717281.0
A01,ST0002,201437,195106.0
A01,ST0001,201440,647135.0
A01,ST0002,201440,139629.0
A01,ST0001,201435,833345.0
A01,ST0001,201425,618699.0
A01,ST0002,201425,128766.0
A01,ST0001,201428,587529.0
A01,ST0002,201428,142598.0
A01,ST0001,201423,610479.0
A01,ST0002,201423,125300.0
A01,ST0001,201426,586721.0
A01,ST0002,201426,135212.0
A01,ST0001,201431,671138.0
A01,ST0002,201431,140732.0
A01,ST0001,201421,620290.0
A01,ST0002,201421,132909.0
A01,ST0001,201429,620882.0
A01,ST0002,201429,154985.0
A01,ST0001,201424,589613.0
A01,ST0002,201424,139590.0
A01,ST0001,201427,599043.0
A01,ST0002,201427,184550.0
A01,ST0001,201422,603104.0
A01,ST0002,201422,143231.0
A01,ST0001,201430,643984.0
A01,ST0002,201430,133998.0
A01,ST0001,201452,1197170.0
A01,ST0002,201452,422468.0
A01,ST0001,201453,757241.0
A01,ST0002,201453,232523.0
A01,ST0001,201443,627906.0
A01,ST0002,201443,124142.0
A01,ST0001,201451,863189.0
A01,ST0002,201451,356271.0
A01,ST0001,201446,644949.0
A01,ST0002,201446,184242.0
A01,ST0001,201449,835398.0
A01,ST0002,201449,669711.0
A01,ST0001,201444,623132.0
A01,ST0002,201444,133493.0
A01,ST0001,201447,681873.0
A01,ST0002,201447,378339.0
A01,ST0001,201442,639179.0
A01,ST0002,201442,136559.0
A01,ST0001,201450,752613.0
A01,ST0002,201450,294579.0
A01,ST0001,201445,621592.0
A01,ST0002,201445,155032.0
A01,ST0001,201448,1103665.0
A01,ST0002,201448,1400339.0
A01,ST0002,201512,151750.0
A01,ST0001,201520,645626.0
A01,ST0002,201520,125863.0
A01,ST0001,201515,810144.0
A01,ST0002,201515,128999.0
A01,ST0001,201518,671464.0
A01,ST0002,201518,134467.0
A01,ST0001,201513,470040.0
A01,ST0002,201513,140297.0
A01,ST0001,201511,524787.0
A01,ST0002,201511,145509.0
A01,ST0001,201516,764927.0
A01,ST0002,201516,140313.0
A01,ST0001,201519,682757.0
A01,ST0002,201519,128668.0
A01,ST0001,201514,428195.0
A01,ST0002,201514,137488.0
